S_min,#C_min_0,#C_min_1,#C_min_2,#C_min_3,#C_min_4,#C_min_5,#C_min_6
-0.060000,-64.415556,-62.082243,-59.638642,-nan,-nan,-nan,-nan
-0.055000,-64.418075,-62.080200,-59.619438,-nan,-nan,-nan,-nan
-0.050000,-64.422636,-62.077759,-59.640149,-nan,-nan,-nan,-nan
-0.045000,-64.425488,-62.085363,-59.627042,-nan,-nan,-nan,-nan
-0.040000,-64.428960,-62.088202,-59.653043,-nan,-nan,-nan,-nan
-0.035000,-64.432689,-62.092883,-59.652542,-nan,-nan,-nan,-nan
-0.030000,-64.437701,-62.100508,-59.649562,-nan,-nan,-nan,-nan
-0.025000,-64.442640,-62.099753,-59.634082,-nan,-nan,-nan,-nan
-0.020000,-64.445108,-62.096366,-59.645245,-nan,-nan,-nan,-nan
-0.015000,-64.449238,-62.098982,-59.647947,-nan,-nan,-nan,-nan
-0.010000,-64.452449,-62.104571,-59.632136,-nan,-nan,-nan,-nan
-0.005000,-64.457664,-62.103442,-59.662810,-nan,-nan,-nan,-nan
0.000000,-64.461544,-62.108794,-59.654578,-56.915769,-nan,-nan,-nan
0.005000,-64.468109,-62.114419,-59.653876,-nan,-nan,-nan,-nan
0.010000,-64.472256,-62.117503,-59.655789,-nan,-nan,-nan,-nan
0.015000,-64.477959,-62.122996,-59.657094,-nan,-nan,-nan,-nan
0.020000,-64.482461,-62.122710,-59.661165,-56.984210,-nan,-nan,-nan
0.025000,-64.488794,-62.131078,-59.667700,-nan,-nan,-nan,-nan
0.030000,-64.494244,-62.136198,-59.662216,-56.927745,-nan,-nan,-nan
0.035000,-64.500356,-62.142000,-59.672953,-56.936452,-nan,-nan,-nan
0.040000,-64.505458,-62.143945,-59.680139,-56.908186,-nan,-nan,-nan
0.045000,-64.512440,-62.151070,-59.677894,-56.990168,-nan,-nan,-nan
0.050000,-64.518976,-62.157859,-59.687473,-56.996022,-nan,-nan,-nan
0.055000,-64.526663,-62.165060,-59.685667,-56.968611,-nan,-nan,-nan
0.060000,-64.531932,-62.173314,-59.701909,-57.004042,-nan,-nan,-nan
0.065000,-64.540751,-62.179587,-59.705233,-56.987530,-54.280008,-nan,-nan
0.070000,-64.549004,-62.187328,-59.711733,-56.966426,-54.365534,-nan,-nan
0.075000,-64.555501,-62.196825,-59.718138,-56.990227,-nan,-nan,-nan
0.080000,-64.564120,-62.204991,-59.727159,-56.995496,-nan,-nan,-nan
0.085000,-64.572360,-62.215412,-59.740894,-57.003636,-nan,-nan,-nan
0.090000,-64.581690,-62.226163,-59.746550,-57.024572,-54.396923,-nan,-nan
0.095000,-64.591494,-62.235086,-59.758648,-57.032918,-nan,-nan,-nan
0.100000,-64.601930,-62.246565,-59.767066,-57.033832,-nan,-nan,-nan
0.105000,-64.611430,-62.258214,-59.777581,-57.044969,-54.481868,-nan,-nan
0.110000,-64.622912,-62.269543,-59.791885,-57.050976,-54.445235,-nan,-nan
0.115000,-64.631448,-62.283863,-59.806151,-57.062979,-54.414010,-nan,-nan
0.120000,-64.643906,-62.298419,-59.819569,-57.071231,-54.492209,-nan,-nan
